2017Apr09-22:01:31:504 | INFO  | Creating new RCInput object
2017Apr09-22:01:32:194 | INFO  | Creating new OrientationInput object
2017Apr09-22:01:32:199 | INFO  | Successfully initialized orientation subsystem
2017Apr09-22:01:32:200 | INFO  | Successfully configured RC input
2017Apr09-22:01:32:204 | INFO  | GPS subsystem started
2017Apr09-22:01:32:204 | INFO  | Initializing ADC subsystem
2017Apr09-22:01:39:994 | INFO  | AIO REST subsystem started
2017Apr09-22:01:39:994 | INFO  | Loading KML file /home/debian/hackerboat/embedded_software/unified/test_data/waypoint/2017Mar25.kml
2017Apr09-22:01:39:994 | INFO  | Found start of Placemark on line:10[			<Placemark>]
2017Apr09-22:01:39:994 | INFO  | Found name on line:11[				<name>Waypoints</name>]
2017Apr09-22:01:39:995 | INFO  | Found start of line string on line: 14[				<LineString>]
2017Apr09-22:01:39:997 | INFO  | ,CSV,RecordTime,CurrentWaypoint,WaypointStrength,/*LastContactTime,LastRCTime,*/Lat,Lon,Track,Speed,FixValid,StopButtonState,ArmButtonState,ServoEnableState,ThrottlePosition,RudderCommand,CurrentHeading,ThrottleInput,CourseInput,RCFailSafe,RCMode,RawMotorCurrent,RawBatteryVoltage
2017Apr09-22:01:40:006 | INFO  | Entering self test from start mode
2017Apr09-22:01:42:380 | ERROR | Failed to parse command []
2017Apr09-22:01:42:793 | INFO  | Orientation after getAccelOrientation: {"roll": 0, "pitch": -6, "heading": 59}
2017Apr09-22:01:42:793 | INFO  | Orientation after getMagOrientation: {"roll": 0, "pitch": -6, "heading": 62}
2017Apr09-22:01:44:126 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:127 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:01:44:127 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:01:44:128 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:128 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:01:44:129 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:01:44:130 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:132 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:134 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:134 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:01:44:136 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Return"}}
2017Apr09-22:01:44:141 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Return"}}
2017Apr09-22:01:44:142 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:144 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Return"}}
2017Apr09-22:01:44:146 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:01:44:149 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:01:44:150 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:01:44:153 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:01:44:161 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:01:44:162 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:01:44:162 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:163 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:164 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:166 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:167 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:167 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:170 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:173 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:173 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:01:44:174 | INFO  | Starting self-test
2017Apr09-22:01:44:429 | INFO  | ,CSV,2017-04-09 22:01:44.428,-1228651992,0.000000,47.594933,-122.377525,215.400000,0.453000,0,1,1,,0,1500,54.892492,0,152.780488,
2017Apr09-22:01:44:931 | INFO  | ,CSV,2017-04-09 22:01:44.930,-1228651992,0.000000,47.594933,-122.377528,220.370000,0.412000,0,1,1,,0,1500,61.270031,0,152.780488,
2017Apr09-22:01:45:436 | INFO  | ,CSV,2017-04-09 22:01:45.433,-1228651992,0.000000,47.594933,-122.377528,220.370000,0.412000,0,1,1,,0,1500,57.652406,0,152.780488,
