2017Apr09-22:46:18:813 | INFO  | ,CSV,2017-04-09 22:46:18.806,-1229151704,0.000000,47.593840,-122.381312,188.260000,0.072000,0,1,1,,0,1500,26.246145,0,351.878049,
2017Apr09-22:46:19:311 | INFO  | ,CSV,2017-04-09 22:46:19.309,-1229151704,0.000000,47.593840,-122.381312,188.260000,0.072000,0,1,1,,0,1500,21.865802,0,351.878049,
2017Apr09-22:46:19:812 | INFO  | ,CSV,2017-04-09 22:46:19.810,-1229151704,0.000000,47.593840,-122.381312,220.290000,0.062000,0,1,1,,0,1500,9.800375,0,351.878049,
2017Apr09-22:46:20:315 | INFO  | ,CSV,2017-04-09 22:46:20.313,-1229151704,0.000000,47.593840,-122.381312,220.290000,0.062000,0,1,1,,0,1500,26.078598,0,351.878049,
2017Apr09-22:46:20:816 | INFO  | ,CSV,2017-04-09 22:46:20.815,-1229151704,0.000000,47.593840,-122.381312,220.290000,0.000000,0,1,1,,0,1500,31.702634,0,351.878049,
2017Apr09-22:46:21:318 | INFO  | ,CSV,2017-04-09 22:46:21.316,-1229151704,0.000000,47.593840,-122.381312,246.350000,0.021000,0,1,1,,0,1500,23.562312,0,352.317073,
2017Apr09-22:46:21:822 | INFO  | ,CSV,2017-04-09 22:46:21.819,-1229151704,0.000000,47.593838,-122.381312,196.390000,0.021000,0,1,1,,0,1500,17.812469,0,351.878049,
2017Apr09-22:46:22:323 | INFO  | ,CSV,2017-04-09 22:46:22.321,-1229151704,0.000000,47.593838,-122.381312,196.390000,0.021000,0,1,1,,0,1500,20.743376,0,351.878049,
2017Apr09-22:46:22:828 | INFO  | ,CSV,2017-04-09 22:46:22.824,-1229151704,0.000000,47.593838,-122.381312,45.920000,0.190000,0,1,1,,0,1500,15.359982,0,351.878049,
2017Apr09-22:46:23:327 | INFO  | ,CSV,2017-04-09 22:46:23.325,-1229151704,0.000000,47.593838,-122.381312,45.920000,0.190000,0,1,1,,0,1500,22.655210,0,351.878049,
2017Apr09-22:46:23:837 | INFO  | ,CSV,2017-04-09 22:46:23.836,-1229151704,0.000000,47.593840,-122.381310,54.410000,0.123000,0,1,1,,0,1500,31.168162,0,352.317073,
2017Apr09-22:46:24:341 | INFO  | ,CSV,2017-04-09 22:46:24.338,-1229151704,0.000000,47.593840,-122.381310,54.410000,0.123000,0,1,1,,0,1500,36.508176,0,351.878049,
2017Apr09-22:46:24:845 | INFO  | ,CSV,2017-04-09 22:46:24.844,-1229151704,0.000000,47.593840,-122.381308,76.240000,0.211000,0,1,1,,0,1500,18.569242,0,351.878049,
2017Apr09-22:46:25:306 | INFO  | Orientation after getAccelOrientation: {"pitch": -6, "heading": 8, "roll": 2}
2017Apr09-22:46:25:312 | INFO  | Orientation after getMagOrientation: {"pitch": -6, "heading": 10, "roll": 2}
2017Apr09-22:46:25:348 | INFO  | ,CSV,2017-04-09 22:46:25.347,-1229151704,0.000000,47.593840,-122.381308,76.240000,0.211000,0,1,1,,0,1500,8.862674,0,351.878049,
2017Apr09-22:46:25:850 | INFO  | ,CSV,2017-04-09 22:46:25.849,-1229151704,0.000000,47.593842,-122.381307,76.240000,0.224000,0,1,1,,0,1500,34.134383,0,351.878049,
2017Apr09-22:46:26:353 | INFO  | ,CSV,2017-04-09 22:46:26.351,-1229151704,0.000000,47.593842,-122.381307,63.780000,0.108000,0,1,1,,0,1500,34.758123,0,351.878049,
2017Apr09-22:46:26:854 | INFO  | ,CSV,2017-04-09 22:46:26.853,-1229151704,0.000000,47.593842,-122.381305,74.310000,0.118000,0,1,1,,0,1500,20.931335,0,351.878049,
2017Apr09-22:46:27:357 | INFO  | ,CSV,2017-04-09 22:46:27.356,-1229151704,0.000000,47.593842,-122.381305,74.310000,0.118000,0,1,1,,0,1500,35.387134,0,351.878049,
2017Apr09-22:46:27:860 | INFO  | ,CSV,2017-04-09 22:46:27.858,-1229151704,0.000000,47.593842,-122.381303,140.100000,0.159000,0,1,1,,0,1500,41.365589,0,351.878049,
2017Apr09-22:46:28:361 | INFO  | ,CSV,2017-04-09 22:46:28.360,-1229151704,0.000000,47.593842,-122.381303,140.100000,0.159000,0,1,1,,0,1500,25.298356,0,351.878049,
2017Apr09-22:46:28:863 | INFO  | ,CSV,2017-04-09 22:46:28.862,-1229151704,0.000000,47.593840,-122.381302,131.000000,0.180000,0,1,1,,0,1500,21.808690,0,351.878049,
2017Apr09-22:46:29:365 | INFO  | ,CSV,2017-04-09 22:46:29.363,-1229151704,0.000000,47.593840,-122.381302,131.000000,0.180000,0,1,1,,0,1500,37.114215,0,351.878049,
2017Apr09-22:46:29:866 | INFO  | ,CSV,2017-04-09 22:46:29.865,-1229151704,0.000000,47.593840,-122.381300,109.510000,0.159000,0,1,1,,0,1500,36.983686,0,351.878049,
2017Apr09-22:46:30:368 | INFO  | ,CSV,2017-04-09 22:46:30.366,-1229151704,0.000000,47.593840,-122.381300,109.510000,0.159000,0,1,1,,0,1500,28.071886,0,351.878049,
2017Apr09-22:46:30:894 | INFO  | ,CSV,2017-04-09 22:46:30.871,-1229151704,0.000000,47.593838,-122.381298,109.510000,0.224000,0,1,1,,0,1500,34.255766,0,352.317073,
2017Apr09-22:46:31:380 | INFO  | ,CSV,2017-04-09 22:46:31.378,-1229151704,0.000000,47.593838,-122.381298,98.870000,0.237000,0,1,1,,0,1500,33.384291,0,351.878049,
2017Apr09-22:46:31:888 | INFO  | ,CSV,2017-04-09 22:46:31.885,-1229151704,0.000000,47.593838,-122.381295,107.880000,0.211000,0,1,1,,0,1500,26.621066,0,351.878049,
2017Apr09-22:46:32:388 | INFO  | ,CSV,2017-04-09 22:46:32.386,-1229151704,0.000000,47.593838,-122.381295,107.880000,0.211000,0,1,1,,0,1500,26.999671,0,351.878049,
2017Apr09-22:46:32:890 | INFO  | ,CSV,2017-04-09 22:46:32.888,-1229151704,0.000000,47.593838,-122.381292,119.630000,0.180000,0,1,1,,0,1500,35.870037,0,351.878049,
2017Apr09-22:46:33:392 | INFO  | ,CSV,2017-04-09 22:46:33.391,-1229151704,0.000000,47.593838,-122.381292,119.630000,0.180000,0,1,1,,0,1500,33.789967,0,351.878049,
2017Apr09-22:46:33:897 | INFO  | ,CSV,2017-04-09 22:46:33.893,-1229151704,0.000000,47.593837,-122.381290,159.990000,0.175000,0,1,1,,0,1500,27.015519,0,351.878049,
2017Apr09-22:46:34:396 | INFO  | ,CSV,2017-04-09 22:46:34.394,-1229151704,0.000000,47.593837,-122.381290,159.990000,0.175000,0,1,1,,0,1500,29.844053,0,351.878049,
2017Apr09-22:46:34:898 | INFO  | ,CSV,2017-04-09 22:46:34.897,-1229151704,0.000000,47.593835,-122.381290,151.910000,0.149000,0,1,1,,0,1500,36.288795,0,352.317073,
2017Apr09-22:46:35:401 | INFO  | ,CSV,2017-04-09 22:46:35.399,-1229151704,0.000000,47.593835,-122.381290,151.910000,0.149000,0,1,1,,0,1500,41.056455,0,351.878049,
2017Apr09-22:46:35:695 | INFO  | Orientation after getAccelOrientation: {"pitch": -6, "heading": 36, "roll": 0}
2017Apr09-22:46:35:696 | INFO  | Orientation after getMagOrientation: {"pitch": -6, "heading": 38, "roll": 0}
2017Apr09-22:46:35:904 | INFO  | ,CSV,2017-04-09 22:46:35.902,-1229151704,0.000000,47.593835,-122.381288,151.910000,0.125000,0,1,1,,0,1500,34.542614,0,351.878049,
2017Apr09-22:46:36:406 | INFO  | ,CSV,2017-04-09 22:46:36.404,-1229151704,0.000000,47.593835,-122.381288,134.630000,0.175000,0,1,1,,0,1500,32.703310,0,351.878049,
2017Apr09-22:46:36:662 | WARN  | AIO REST transmission failed: The requested URL returned error: 404 Not Found
2017Apr09-22:46:36:911 | INFO  | ,CSV,2017-04-09 22:46:36.908,-1229151704,0.000000,47.593833,-122.381287,145.390000,0.226000,0,1,1,,0,1500,28.339417,0,351.878049,
2017Apr09-22:46:37:419 | INFO  | ,CSV,2017-04-09 22:46:37.416,-1229151704,0.000000,47.593833,-122.381287,145.390000,0.226000,0,1,1,,0,1500,28.113314,0,351.878049,
2017Apr09-22:46:37:924 | INFO  | ,CSV,2017-04-09 22:46:37.923,-1229151704,0.000000,47.593832,-122.381285,144.410000,0.170000,0,1,1,,0,1500,33.859394,0,351.878049,
2017Apr09-22:46:38:428 | INFO  | ,CSV,2017-04-09 22:46:38.425,-1229151704,0.000000,47.593832,-122.381285,144.410000,0.170000,0,1,1,,0,1500,39.347029,0,352.317073,
2017Apr09-22:46:38:930 | INFO  | ,CSV,2017-04-09 22:46:38.929,-1229151704,0.000000,47.593830,-122.381283,151.330000,0.139000,0,1,1,,0,1500,37.501838,0,351.878049,
2017Apr09-22:46:39:432 | INFO  | ,CSV,2017-04-09 22:46:39.430,-1229151704,0.000000,47.593830,-122.381283,151.330000,0.139000,0,1,1,,0,1500,41.446091,0,352.317073,
2017Apr09-22:46:39:934 | INFO  | ,CSV,2017-04-09 22:46:39.932,-1229151704,0.000000,47.593830,-122.381283,179.610000,0.113000,0,1,1,,0,1500,27.274161,0,351.878049,
2017Apr09-22:46:40:436 | INFO  | ,CSV,2017-04-09 22:46:40.435,-1229151704,0.000000,47.593830,-122.381283,179.610000,0.113000,0,1,1,,0,1500,42.744151,0,351.878049,
2017Apr09-22:46:40:938 | INFO  | ,CSV,2017-04-09 22:46:40.936,-1229151704,0.000000,47.593828,-122.381283,179.610000,0.185000,0,1,1,,0,1500,38.518370,0,351.878049,
2017Apr09-22:46:41:442 | INFO  | ,CSV,2017-04-09 22:46:41.438,-1229151704,0.000000,47.593828,-122.381283,230.580000,0.067000,0,1,1,,0,1500,45.976108,0,351.878049,
2017Apr09-22:46:41:940 | INFO  | Entering disarm mode from self test
2017Apr09-22:46:41:993 | INFO  | ,CSV,2017-04-09 22:46:41.940,-1229151704,0.000000,47.593828,-122.381283,215.870000,0.123000,0,1,1,,0,1500,40.584274,0,351.878049,
2017Apr09-22:46:42:040 | INFO  | Starting disarmed mode
2017Apr09-22:46:42:042 | INFO  | Boat arming canceled
2017Apr09-22:46:42:142 | INFO  | Boat arming canceled
2017Apr09-22:46:42:243 | INFO  | Boat arming canceled
2017Apr09-22:46:42:344 | INFO  | Boat arming canceled
2017Apr09-22:46:42:353 | INFO  | Publishing payload [{"value":13.481305,"lon":-122.381283,"lat":47.593830,"ele":0.0}] to feed: [batteryvoltage] with HTTP code 0
2017Apr09-22:46:42:443 | INFO  | Boat arming canceled
2017Apr09-22:46:42:444 | INFO  | ,CSV,2017-04-09 22:46:42.441,-1229151704,0.000000,47.593828,-122.381283,215.870000,0.123000,0,1,1,,0,1500,40.546136,0,351.878049,
2017Apr09-22:46:42:544 | INFO  | Boat arming canceled
2017Apr09-22:46:42:644 | INFO  | Boat arming canceled
2017Apr09-22:46:42:748 | INFO  | Boat arming canceled
2017Apr09-22:46:42:847 | INFO  | Boat arming canceled
2017Apr09-22:46:42:945 | INFO  | Boat arming canceled
2017Apr09-22:46:42:946 | INFO  | ,CSV,2017-04-09 22:46:42.943,-1229151704,0.000000,47.593827,-122.381285,198.030000,0.123000,0,1,1,,0,1500,32.624762,0,351.878049,
2017Apr09-22:46:43:046 | INFO  | Boat arming canceled
2017Apr09-22:46:43:145 | INFO  | Boat arming canceled
2017Apr09-22:46:43:246 | INFO  | Boat arming canceled
2017Apr09-22:46:43:384 | INFO  | Boat arming canceled
2017Apr09-22:46:43:457 | INFO  | Boat arming canceled
2017Apr09-22:46:43:463 | INFO  | ,CSV,2017-04-09 22:46:43.450,-1229151704,0.000000,47.593827,-122.381285,198.030000,0.123000,0,1,1,,0,1500,43.402705,0,351.878049,
2017Apr09-22:46:43:561 | INFO  | Boat arming canceled
2017Apr09-22:46:43:653 | INFO  | Boat arming canceled
2017Apr09-22:46:43:752 | INFO  | Boat arming canceled
2017Apr09-22:46:43:854 | INFO  | Boat arming canceled
2017Apr09-22:46:43:961 | INFO  | Boat arming canceled
2017Apr09-22:46:43:977 | INFO  | ,CSV,2017-04-09 22:46:43.952,-1229151704,0.000000,47.593827,-122.381285,204.480000,0.103000,0,1,1,,0,1500,35.094885,0,351.878049,
2017Apr09-22:46:44:065 | INFO  | Boat arming canceled
2017Apr09-22:46:44:156 | INFO  | Boat arming canceled
2017Apr09-22:46:44:286 | INFO  | Boat arming canceled
2017Apr09-22:46:44:359 | INFO  | Boat arming canceled
2017Apr09-22:46:44:459 | INFO  | Boat arming canceled
2017Apr09-22:46:44:461 | INFO  | ,CSV,2017-04-09 22:46:44.455,-1229151704,0.000000,47.593827,-122.381285,204.480000,0.103000,0,1,1,,0,1500,44.650939,0,351.878049,
2017Apr09-22:46:44:557 | INFO  | Boat arming canceled
2017Apr09-22:46:44:657 | INFO  | Boat arming canceled
2017Apr09-22:46:44:758 | INFO  | Boat arming canceled
2017Apr09-22:46:44:858 | INFO  | Boat arming canceled
2017Apr09-22:46:44:960 | INFO  | Boat arming canceled
2017Apr09-22:46:44:961 | INFO  | ,CSV,2017-04-09 22:46:44.957,-1229151704,0.000000,47.593825,-122.381287,185.580000,0.195000,0,1,1,,0,1500,41.605704,0,351.878049,
2017Apr09-22:46:45:060 | INFO  | Boat arming canceled
2017Apr09-22:46:45:160 | INFO  | Boat arming canceled
2017Apr09-22:46:45:271 | INFO  | Boat arming canceled
2017Apr09-22:46:45:363 | INFO  | Boat arming canceled
2017Apr09-22:46:45:461 | INFO  | Boat arming canceled
2017Apr09-22:46:45:461 | INFO  | ,CSV,2017-04-09 22:46:45.459,-1229151704,0.000000,47.593825,-122.381287,185.580000,0.195000,0,1,1,,0,1500,45.040465,0,351.878049,
2017Apr09-22:46:45:563 | INFO  | Boat arming canceled
2017Apr09-22:46:45:666 | INFO  | Boat arming canceled
2017Apr09-22:46:45:764 | INFO  | Boat arming canceled
2017Apr09-22:46:45:862 | INFO  | Boat arming canceled
2017Apr09-22:46:45:962 | INFO  | Boat arming canceled
