54.18,	7.82,	-20.10
54.18,	7.82,	-20.10
54.18,	7.82,	-20.10
54.18,	7.82,	-20.10
54.18,	7.82,	-20.10
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	8.00,	-20.82
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.36,	7.91,	-20.61
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.27,	7.64,	-20.41
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.45,	7.91,	-20.71
54.27,	8.09,	-20.92
54.27,	8.09,	-20.92
54.27,	8.09,	-20.92
54.27,	8.09,	-20.92
54.27,	8.09,	-20.92
54.27,	8.09,	-20.92
54.27,	8.09,	-20.92
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.45,	7.82,	-20.20
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.55,	8.18,	-20.92
54.36,	8.27,	-21.02
54.36,	8.27,	-21.02
54.36,	8.27,	-21.02
54.36,	8.27,	-21.02
54.36,	8.27,	-21.02
54.36,	8.27,	-21.02
54.36,	8.27,	-21.02
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.09,	7.82,	-19.90
54.27,	7.91,	-20.71
54.27,	7.91,	-20.71
54.27,	7.91,	-20.71
54.27,	7.91,	-20.71
54.27,	7.91,	-20.71
54.27,	7.91,	-20.71
54.27,	7.91,	-20.71
